"produto","produto_receita_gerada"
bb50f2e236e5eea0100680137654686c,67860.00
"5769ef0a239114ac3a854af00df129e4",60480.00
"6cdd53843498f92890544667809f1595",54030.40
d6160fb7873f184099d9bc95e30376af,48899.34
d1c427060a0f73f6b889a5c7c61f2ac4,48780.45
"99a4788cb24856965c36a24e339b6058",45185.06
"3dd2a17168ec895c781a9191c1e95ad7",44830.10
aca2eb7d00ea1a7b8ebd4e68314663af,44228.00
"422879e10f46682990de24d770e7f83d",41970.25
a62e25e09e05e6faf31d90c6ec1aa3d1,38790.00
