"ano_mes_dia","receita_gerada_dia","receita_acumulada_ano"
"2017-06-14",22119.72,1942556.50
"2017-06-15",13610.00,1956166.50
"2017-06-16",13288.37,1969454.87
"2017-06-17",11232.48,1980687.35
"2017-06-18",17261.09,1997948.44
"2017-06-19",24129.15,2022077.59
"2017-06-20",12268.58,2034346.17
"2017-06-21",6175.06,2040521.23
"2017-06-22",9099.09,2049620.32
"2017-06-23",13494.38,2063114.70
"2017-06-24",8845.52,2071960.22
"2017-06-25",17951.22,2089911.44
"2017-06-26",14661.89,2104573.33
"2017-06-27",17429.17,2122002.50
"2017-06-28",15213.36,2137215.86
"2017-06-29",12697.75,2149913.61
"2017-06-30",12322.51,2162236.12
"2017-07-01",12729.59,2174965.71
"2017-07-02",11966.05,2186931.76
"2017-07-03",18008.14,2204939.90
"2017-07-04",14686.31,2219626.21
"2017-07-05",21763.19,2241389.40
"2017-07-06",23539.81,2264929.21
"2017-07-07",13858.19,2278787.40
"2017-07-08",10247.33,2289034.73
"2017-07-09",8518.87,2297553.60
"2017-07-10",19604.83,2317158.43
"2017-07-11",20390.14,2337548.57
"2017-07-12",19728.18,2357276.75
"2017-07-13",15643.37,2372920.12
"2017-07-14",20015.43,2392935.55
"2017-07-15",11630.24,2404565.79
"2017-07-16",15391.57,2419957.36
"2017-07-17",23577.29,2443534.65
"2017-07-18",31788.43,2475323.08
"2017-07-19",19593.99,2494917.07
"2017-07-20",21501.62,2516418.69
"2017-07-21",17239.64,2533658.33
"2017-07-22",12674.85,2546333.18
"2017-07-23",12117.67,2558450.85
"2017-07-24",20855.65,2579306.50
"2017-07-25",19891.77,2599198.27
"2017-07-26",11897.05,2611095.32
"2017-07-27",16913.22,2628008.54
"2017-07-28",23294.16,2651302.70
"2017-07-29",17225.98,2668528.68
"2017-07-30",13300.89,2681829.57
"2017-07-31",18060.09,2699889.66
"2017-08-01",25314.58,2725204.24
"2017-08-02",18001.33,2743205.57
"2017-08-03",19930.93,2763136.50
"2017-08-04",19812.68,2782949.18
"2017-08-05",11616.12,2794565.30
"2017-08-06",15085.92,2809651.22
"2017-08-07",24919.88,2834571.10
"2017-08-08",19465.18,2854036.28
"2017-08-09",24077.95,2878114.23
"2017-08-10",19915.24,2898029.47
"2017-08-11",20847.77,2918877.24
"2017-08-12",15234.19,2934111.43
"2017-08-13",14421.08,2948532.51
"2017-08-14",19594.86,2968127.37
"2017-08-15",25567.88,2993695.25
"2017-08-16",26676.96,3020372.21
"2017-08-17",18238.56,3038610.77
"2017-08-18",17052.04,3055662.81
"2017-08-19",13951.91,3069614.72
"2017-08-20",13528.83,3083143.55
